3323;UK;STATE;Uttarakhand;UK05;Dehradun;CITY;Y;/dehradun-uttarakhand-matrimony-matrimonials;L2_ST_3323;;Uttarakhand Dehradun Matrimony - Uttarakhand Dehradun Matrimonial;Find Lakhs of verified Uttarakhand Dehradun Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Dehradun Uttarakhand;Y;dehradun-uttar-pradesh-matrimonials.jpg;Dehradun Uttarakhand Matrimony;N
3421;CH;STATE;Chhattisgarh;CH03;Bilaspur;CITY;Y;/bilaspur-chhattisgarh-matrimony-matrimonials;L2_ST_3421;;Chhattisgarh Bilaspur Matrimony - Chhattisgarh Bilaspur Matrimonial;Find Lakhs of verified Chhattisgarh Bilaspur Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Bilaspur Chhattisgarh;Y;bilaspur-madhya-pradesh-matrimonials.jpg;Bilaspur Chhattisgarh Matrimony;N
3422;CH;STATE;Chhattisgarh;CH01;Raipur;CITY;Y;/raipur-chhattisgarh-matrimony-matrimonials;L2_ST_3422;;Chhattisgarh Raipur Matrimony - Chhattisgarh Raipur Matrimonial;Find Lakhs of verified Chhattisgarh Raipur Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Raipur Chhattisgarh;Y;raipur-madhya-pradesh-matrimonials.jpg;Raipur Chhattisgarh Matrimony;N
3423;CH;STATE;Chhattisgarh;CH04;Bhilai;CITY;Y;/bhilai-chhattisgarh-matrimony-matrimonials;L2_ST_3423;;Chhattisgarh Bhilai Matrimony - Chhattisgarh Bhilai Matrimonial;Find Lakhs of verified Chhattisgarh Bhilai Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Bhilai Chhattisgarh;Y;bhilai-madhya-pradesh-matrimonials.jpg;Bhilai Chhattisgarh Matrimony;N
3476;JH;STATE;Jharkhand;JH01;Ranchi;CITY;Y;/ranchi-jharkhand-matrimony-matrimonials;L2_ST_3476;;Jharkhand Ranchi Matrimony - Jharkhand Ranchi Matrimonial;Find Lakhs of verified Jharkhand Ranchi Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Ranchi Jharkhand;Y;ranchi-bihar-matrimonials.jpg;Ranchi Jharkhand Matrimony;N
3477;JH;STATE;Jharkhand;JH02;Jamshedpur;CITY;Y;/jamshedpur-jharkhand-matrimony-matrimonials;L2_ST_3477;;Jharkhand Jamshedpur Matrimony - Jharkhand Jamshedpur Matrimonial;Find Lakhs of verified Jharkhand Jamshedpur Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Jamshedpur Jharkhand;Y;jamshedpur-bihar-matrimonials.jpg;Jamshedpur Jharkhand Matrimony;N
3479;JH;STATE;Jharkhand;JH04;Bokaro;CITY;Y;/bokaro-jharkhand-matrimony-matrimonials;L2_ST_3479;;Jharkhand Bokaro Matrimony - Jharkhand Bokaro Matrimonial;Find Lakhs of verified Jharkhand Bokaro Matrimony profiles on Jeevansathi. Add your profile for Safe & Secured matchmaking experience.;;Bokaro Jharkhand;Y;bokaro-bihar-matrimonials.jpg;Bokaro Jharkhand Matrimony;N
5014;UK;STATE;Uttarakhand;UK05;Dehradun;CITY;Y;/dehradun-uttarakhand-brides-girls;L2_ST_5014;;Uttarakhand Dehradun Brides - Uttarakhand Dehradun Girls;Find Lakhs of verified Uttarakhand Dehradun Brides profiles at Jeevansathi with photos & horoscope. Join Free & Add your profile Now!;;Dehradun Uttarakhand Brides;Y;dehradun-uttar-pradesh-up-brides-girls.jpg;Dehradun Uttarakhand Up Brides Girls;B
5111;CH;STATE;Chhattisgarh;CH03;Bilaspur;CITY;Y;/bilaspur-chhattisgarh-brides-girls;L2_ST_5111;;Chhattisgarh Bilaspur Brides - Chhattisgarh Bilaspur Girls;Find Lakhs of verified Chhattisgarh Bilaspur Brides profiles at Jeevansathi with photos & horoscope. Join Free & Add your profile Now!;;Bilaspur Chhattisgarh Brides;Y;bilaspur-madhya-pradesh-mp-brides-girls.jpg;Bilaspur Chhattisgarh Mp Brides Girls;B
5112;CH;STATE;Chhattisgarh;CH01;Raipur;CITY;Y;/raipur-chhattisgarh-brides-girls;L2_ST_5112;;Chhattisgarh Raipur Brides - Chhattisgarh Raipur Girls;Find Lakhs of verified Chhattisgarh Raipur Brides profiles at Jeevansathi with photos & horoscope. Join Free & Add your profile Now!;;Raipur Chhattisgarh Brides;Y;raipur-madhya-pradesh-mp-brides-girls.jpg;Raipur Chhattisgarh Mp Brides Girls;B
